,user,location,tweet,created_at,original_creator,retweet
1606,Tocqueville001,🌎,RT @boxmining: Feb 2 SPECIAL: #CoronaVirus Pandemic Update #WuhanVirus https://t.co/1UobOhoK4U,2020-02-02 20:01:24,boxmining,1
1607,fabfashionista8,,"RT @ChinaDaily: China's ambassador to the US stressed that prevention, control and people's well-being are top priorities for China in figh…",2020-02-02 20:01:23,ChinaDaily,1
1608,soleeternaltat,,"RT @TheDailyEdge: If you think #Coronavirus is scary, imagine being a kid in a Trump border camp and knowing there was vaccine for a virus…",2020-02-02 20:01:22,TheDailyEdge,1
1609,yourfavouritey1,Hong Kong,"RT @badiucao: #WuhanDiary d6 —— 01.02.2020 
Diary of Wuhan under quarantine
Honor to illustrate &amp; translate

I can not tell if it's for I t…",2020-02-02 20:01:21,badiucao,1
1610,politicalquest0,,"Thailand-sees-apparent-success-treating-#Coronavirus-with-drug-cocktail
The doctors combined the anti-flu drug… https://t.co/TVnq8FWdjj",2020-02-02 20:01:21,,1
1611,64Rivergirl,"Tennessee, USA","RT @CatesDuane: @Jkylebass @drawandstrike Pic 1 NEW Lvl IV Bio Lab just built in LOVELY WUHAN CITY! (Jan 4, 2018)
Pic 2 THIS is Dr. Charles…",2020-02-02 20:01:20,CatesDuane,1
1612,plotloser,London,"RT @TomValletti: #Coronavirus On a train in Italy. A teenage Chinese boy boards the train. A woman comments loudly: “There you go, we are a…",2020-02-02 20:01:19,TomValletti,1
1613,birdmanbentz,,"RT @GordonGChang: From her answer, it's evident #JustinTrudeau's government is totally unprepared for the #coronavirus emergency. This is i…",2020-02-02 20:01:18,GordonGChang,1
1614,NatachaNayoh,,@PR_Paul_BIYA can you and your entire government try to rescue Cameroonians in China who are in the #CoronaVirus in… https://t.co/LnihhV417A,2020-02-02 20:01:18,,1
1615,MaggieM09736532,,"RT @EpochTimes: “New Yorkers should go about our lives, continue doing what we do normally,” @BilldeBlasio said. 

#NewYorkCity's #Health o…",2020-02-02 20:01:18,EpochTimes,1
